req_id,title,text,type,subsystem,priority,verification_method,status,parent_req,source
MOB-008,Wheel Motor Redundancy,"Each wheel shall have a redundant motor driver circuit enabling switch-over within 50 ms on primary driver failure.",Design,Mobility,1,Test,Derived,SR-011,LPAS-FMEA-001
MOB-009,Wheel Slip Estimation,"The wheel slip prediction system shall estimate slip ratio with accuracy of ±0.05 at 95% confidence on regolith simulant (JSC-1A).",Performance,Mobility,1,Test,Derived,MR-008,LPAS-MECH-ICD-001
MOB-010,Cold-Temperature Operation,"All mobility actuators shall operate after cold-soak at −120 °C without pre-conditioning other than electrical activation.",Performance,Mobility,1,Test,Derived,SR-013,LPAS-THERM-001
PWR-001,Solar Array Power Output,"The solar array shall produce a minimum of 80 W at beginning-of-life at a solar flux of 47.5 W/m² (south pole, max elevation 2°), panel temperature 0 °C.",Performance,Power,1,Test,Derived,SR-004,LPAS-ELEC-ICD-001
PWR-002,Battery Capacity,"The battery shall provide a minimum usable energy of 432 Wh (80% depth of discharge from 540 Wh nameplate) at −20 °C.",Performance,Power,1,Test,Derived,SR-006,LPAS-ELEC-ICD-001
PWR-003,Battery Cycle Life,"The battery shall demonstrate > 200 full charge/discharge cycles at 100% depth of discharge with < 20% capacity fade.",Performance,Power,1,Test,Derived,MR-003,LPAS-ELEC-ICD-001
PWR-004,Main Bus Voltage,"The regulated main bus voltage shall be 28 VDC ± 2 V under all load conditions.",Performance,Power,1,Test,Derived,SR-004,LPAS-ELEC-ICD-001
PWR-005,Overcurrent Protection,"The PDU shall provide individual channel overcurrent protection for each load with trip time < 5 ms at 2× rated current.",Performance,Power,1,Test,Derived,SR-011,LPAS-FMEA-001
PWR-006,Power Budget Margin,"Total system power consumption shall not exceed 85% of available power in any operational mode, maintaining 15% margin.",Performance,Power,1,Analysis,Derived,SR-004,LPAS-ELEC-ICD-001
PWR-007,Battery Charge Temperature Limit,"Battery charging shall be inhibited by hardware interlock when battery temperature is below −20 °C.",Design,Power,1,Test,Derived,SR-013,LPAS-THERM-001
PWR-008,RTG Prohibition,"The LPAS power system shall not incorporate radioisotope thermoelectric generators (RTGs) or radioisotope heater units (RHUs) of any type.",Constraint,Power,1,Inspection,Derived,,Mission Constraint — No RTG
THM-001,Electronics Bay Operating Limit,"The electronics bay internal temperature shall be maintained between −20 °C and +60 °C during all operational modes.",Performance,Thermal,1,Test,Derived,SR-013,LPAS-THERM-001
THM-002,Battery Temperature Limit,"The battery temperature shall not fall below −20 °C during charging operations or −30 °C during discharge operations.",Performance,Thermal,1,Test,Derived,PWR-007,LPAS-THERM-001
THM-003,Radiator Thermal Rejection,"The radiator shall reject a minimum of 60 W at a maximum electronics temperature of 65 °C and PSR ambient boundary condition.",Performance,Thermal,1,Analysis,Derived,SR-004,LPAS-THERM-001
THM-004,MLI Effective Emissivity,"All MLI blankets installed on thermally controlled zones shall achieve an effective emissivity ε_eff ≤ 0.05.",Performance,Thermal,1,Test,Derived,SR-013,LPAS-THERM-001
THM-005,Heater Autonomy,"The thermal control system shall autonomously maintain all zones above survival limits for the 2.88 h eclipse dwell duration with no ground commanding.",Performance,Thermal,1,Test,Derived,SR-006,LPAS-THERM-001
COM-001,LRO UHF Uplink Frequency,"The LPAS UHF transceiver shall operate at 437.550 MHz (±5 kHz Doppler window) for LRO relay uplink/downlink.",Design,Comms,1,Test,Derived,SR-007,LPAS-COMMS-ICD-001
COM-002,Link Margin,"The LPAS-to-LRO UHF link shall maintain a minimum 3 dB link margin at maximum range (200 km slant range) at LRO elevation ≥ 5°.",Performance,Comms,1,Analysis,Derived,SR-008,LPAS-COMMS-ICD-001
COM-003,Antenna Coverage,"The primary UHF antenna shall provide hemispherical coverage for elevation angles ≥ 5° with gain ≥ −2 dBi.",Performance,Comms,1,Test,Derived,COM-002,LPAS-COMMS-ICD-001
COM-004,Backup LGA,"A fixed low-gain backup antenna shall provide ≥ 0 dBi gain across the upper hemisphere as a single-fault-tolerant backup to the primary gimbal antenna.",Design,Comms,1,Test,Derived,SR-011,LPAS-FMEA-001
COM-005,Contact Window Scheduling,"The autonomy software shall pre-compute LRO contact windows for the next 48 h and schedule science downlink transmissions to coincide with pass opportunities.",Functional,Comms,1,Demonstration,Derived,SR-009,LPAS-SFW-ICD-001
COM-006,Data Compression,"Science image data shall be losslessly or near-losslessly (PSNR ≥ 45 dB) compressed using CCSDS 122.0-B-2 prior to transmission.",Performance,Comms,1,Test,Derived,SR-008,LPAS-COMMS-ICD-001
COM-007,Stored Command Autonomy,"LPAS shall execute pre-stored command sequences for up to 24 h in the absence of ground contact, defaulting to safe-mode traverse if no new commands received.",Functional,Comms,1,Demonstration,Derived,SR-009,LPAS-SFW-ICD-001
COM-008,Earth Direct Visibility,"The LPAS comms design shall explicitly account for the geometric constraint that Earth is permanently below the horizon at the lunar south pole; no direct DSN link shall be baselined.",Constraint,Comms,1,Analysis,Derived,MR-004,LPAS-COMMS-ICD-001
SFW-001,Operating System,"All flight software shall run on ROS2 Humble (LTS) on Ubuntu 22.04 LTS or equivalent RTOS with POSIX compliance.",Design,Software,1,Inspection,Derived,SR-020,LPAS-SFW-ICD-001
SFW-002,AI Model Format,"All inference models deployed on the Jetson AGX Orin shall be exported in ONNX format at opset 17 with dynamic batch axis; TensorRT engines shall be generated on-device.",Design,Software,1,Inspection,Derived,SR-020,LPAS-SFW-ICD-001
SFW-003,Terrain Classification Latency,"The terrain segmentation pipeline shall produce a classified output image at 10 Hz with end-to-end latency ≤ 100 ms at full 1280×720 input resolution.",Performance,Software,1,Test,Derived,MR-008,LPAS-SFW-ICD-001
SFW-004,Watchdog Timeout,"All safety-critical ROS2 nodes shall publish a heartbeat topic at ≥ 10 Hz; the FDIR supervisor shall declare node failure if no heartbeat is received within 500 ms.",Design,Software,1,Test,Derived,SR-011,LPAS-FMEA-001
SFW-005,Autonomy State Machine,"The autonomy manager shall implement a finite state machine with states: IDLE, TRAVERSE, SCIENCE, SAFE_STOP, EMERGENCY_STOP; all transitions shall be logged with timestamp.",Design,Software,1,Inspection,Derived,SR-009,LPAS-SFW-ICD-001
SFW-006,Nav2 Speed Limit,"The Nav2 navigation stack shall enforce a maximum velocity of 0.5 m/s and maximum acceleration of 0.2 m/s² via the FollowPath action server configuration.",Design,Software,1,Test,Derived,MOB-001,LPAS-SFW-ICD-001
SFW-007,Software Version Control,"All flight software shall be version-controlled in a qualified git repository; each flight build shall be tagged with a unique semantic version and build hash.",Design,Software,1,Inspection,Derived,,LPAS-SFW-ICD-001
SFW-008,Unit Test Coverage,"All safety-critical software modules (FDIR, wheel control, power management) shall achieve ≥ 90% line coverage in automated unit tests.",Performance,Software,2,Inspection,Derived,,LPAS-SFW-ICD-001
SFW-009,Hazard Map Update Rate,"The traversability map shall be updated at ≥ 1 Hz during active traverse using fused LIDAR and stereo camera data.",Performance,Software,1,Test,Derived,MR-008,LPAS-SFW-ICD-001
SFW-010,Power-Aware Path Planning,"The path planner shall incorporate a real-time power budget estimate and shall not plan traverse segments that would deplete battery below 20% state-of-charge without a recharge opportunity.",Functional,Software,1,Demonstration,Derived,SR-005,LPAS-SFW-ICD-001
